Country,City,Center,Type,Level,Year,Registered,Present,Passed,ISO3
Madagascar,Antsirabe,Antsirabe,DELF-DALF TP,A2,2023,160,147,122.0,MDG
Madagascar,Antsirabe,Antsirabe,DELF-DALF TP,C2,2023,88,85,55.0,MDG
Madagascar,Antsiranana,Antsiranana,DELF SJ,B1,2023,35,33,29.0,MDG
Madagascar,Antsiranana,Antsiranana,DELF-DALF TP,C2,2023,45,43,14.0,MDG
Madagascar,Antsohihy,Antsohihy,DELF SJ,A1,2023,50,48,48.0,MDG
Madagascar,Antsohihy,Antsohihy,DELF-DALF TP,B2,2023,50,49,33.0,MDG
Madagascar,Fandriana,Fandriana,DELF-DALF TP,C1,2023,11,11,11.0,MDG
Madagascar,Fianarantsoa,Fianarantsoa,DELF-DALF TP,B2,2023,551,514,402.0,MDG
Madagascar,Fort-Dauphin,Fort-Dauphin,DELF-DALF TP,A2,2023,13,9,5.0,MDG
Madagascar,Majunga,Majunga,DELF SJ,B1,2023,115,105,105.0,MDG
Madagascar,Majunga,Majunga,DELF Prim,A2,2023,37,35,35.0,MDG
Madagascar,Majunga,Majunga,DELF-DALF TP,A1,2023,52,51,48.0,MDG
Madagascar,Manakara,Manakara,DELF-DALF TP,B2,2023,35,31,23.0,MDG
Madagascar,Mananjary,Mananjary,DELF SJ,A1,2023,16,16,16.0,MDG
Madagascar,Mananjary,Mananjary,DELF Prim,A1,2023,7,6,6.0,MDG
Madagascar,Mananjary,Mananjary,DELF-DALF TP,B1,2023,22,19,18.0,MDG
Madagascar,Morondava,Morondava,DELF SJ,B2,2023,12,12,12.0,MDG
Madagascar,Morondava,Morondava,DELF Prim,A2,2023,8,8,8.0,MDG
Madagascar,Morondava,Morondava,DELF-DALF TP,A2,2023,2,2,2.0,MDG
Madagascar,Nosy Be,Nosy Be,DELF SJ,A1,2023,4,4,3.0,MDG
Madagascar,Nosy Be,Nosy Be,DELF SJ,B2,2023,5,5,5.0,MDG
Madagascar,Nosy Be,Nosy Be,DELF-DALF TP,B1,2023,58,48,37.0,MDG
Madagascar,Sainte-Marie,Sainte-Marie,DELF SJ,B1,2023,9,9,9.0,MDG
Madagascar,Sainte-Marie,Sainte-Marie,DELF Prim,A1,2023,22,19,18.0,MDG
Madagascar,Sainte-Marie,Sainte-Marie,DELF Prim,A2,2023,33,26,26.0,MDG
Madagascar,Sainte-Marie,Sainte-Marie,DELF-DALF TP,B1,2023,19,17,16.0,MDG
Madagascar,Sainte-Marie,Sainte-Marie,DELF-DALF TP,B2,2023,12,11,11.0,MDG
Madagascar,Sambava,Sambava,DELF-DALF TP,A1,2023,3,2,2.0,MDG
Madagascar,Tamatave,Tamatave,DELF SJ,A1,2023,15,13,12.0,MDG
Madagascar,Tamatave,Tamatave,DELF Prim,A2,2023,47,46,46.0,MDG
Madagascar,Tamatave,Tamatave,DELF-DALF TP,A2,2023,73,66,59.0,MDG
Madagascar,Tamatave,Tamatave,DELF-DALF TP,C2,2023,71,66,33.0,MDG
Madagascar,Tananarive,Antananarivo,DELF Prim,A1.1,2023,57,49,48.0,MDG
Madagascar,Tananarive,Antananarivo,DELF Prim,A2,2023,334,319,316.0,MDG
Madagascar,Tananarive,Antananarivo,DELF-DALF TP,A1,2023,158,129,120.0,MDG
Madagascar,Tananarive,Antananarivo,DELF-DALF TP,B2,2023,3877,3663,3111.0,MDG
Madagascar,Tsiroanomandidy,Tsiroanomandidy,DELF Prim,A1,2023,15,15,15.0,MDG
Madagascar,Tsiroanomandidy,Tsiroanomandidy,DELF-DALF TP,A2,2023,10,8,7.0,MDG
Madagascar,Tsiroanomandidy,Tsiroanomandidy,DELF-DALF TP,B2,2023,20,20,10.0,MDG
Madagascar,Tsiroanomandidy,Tsiroanomandidy,DELF-DALF TP,C1,2023,5,5,4.0,MDG
Malaisie,Ayer Keroh,Ayer Keroh,DELF SJ,A1,2023,87,86,82.0,MYS
Malaisie,Ayer Keroh,Ayer Keroh,DELF SJ,A2,2023,41,39,16.0,MYS
Malaisie,Georgetown - SMK Convent Green Lane,Georgetown,DELF SJ,A2,2023,18,18,16.0,MYS
Malaisie,Johor Bahru,Johor Bahru,DELF SJ,B1,2023,5,5,,MYS
Malaisie,Kota Kinabalu - SMS Sabah,Kota Kinabalu,DELF SJ,A2,2023,6,6,4.0,MYS
Malaisie,Kuala Lumpur - AF,Kuala Lumpur,DELF Prim,A1,2023,6,6,6.0,MYS
Malaisie,Kuala Lumpur - AF,Kuala Lumpur,DELF-DALF TP,B2,2023,18,16,11.0,MYS
Malaisie,Kuala Lumpur - S. Selangor,Cheras,DELF SJ,A2,2023,72,71,57.0,MYS
Malaisie,Kuala Lumpur - S. Selangor,Cheras,DELF SJ,B1,2023,13,12,4.0,MYS
Malaisie,Kuala Lumpur - Seri Puteri,Cyberjaya,DELF SJ,A2,2023,65,65,57.0,MYS
Malaisie,Kuala Lumpur - Seri Puteri,Cyberjaya,DELF SJ,B1,2023,14,14,10.0,MYS
Malaisie,Kuala Terengganu,Kuala Nerus,DELF SJ,A2,2023,27,26,17.0,MYS
Malaisie,Miri,Miri,DELF SJ,A1,2023,34,34,34.0,MYS
Jamaïque,Kingston,Kingston,DELF-DALF TP,A2,2023,1,1,1.0,JAM
Malaisie,Pengkalan Chepa,Pengkalan Chepa,DELF SJ,A2,2023,24,24,20.0,MYS
Malaisie,Pengkalan Chepa,Pengkalan Chepa,DELF SJ,B1,2023,4,4,3.0,MYS
Japon,Osaka - IF,Osaka,DELF Prim,A1.1,2023,1,1,1.0,JPN
Kazakhstan,Qaraghandy,Karaganda,DELF-DALF TP,B1,2023,1,1,1.0,KAZ
Mali,Bamako,Bamako,DELF SJ,A1,2023,2,2,2.0,MLI
Mali,Bamako,Bamako,DELF SJ,A2,2023,12,12,11.0,MLI
Mali,Bamako,Bamako,DELF Prim,A2,2023,32,32,32.0,MLI
Mali,Bamako,Bamako,DELF-DALF TP,A1,2023,3,3,3.0,MLI
Malte,Floriana,Il-Ħamrun,DELF-DALF TP,B2,2023,2,2,2.0,MLT
Maroc,Agadir,Agadir,DELF SJ,B2,2023,34,34,31.0,MAR
Maroc,Agadir,Agadir,DELF SJ,B1,2023,41,41,37.0,MAR
Maroc,Casablanca,Casablanca,DELF SJ,B1,2023,3,3,2.0,MAR
Maroc,Casablanca,Casablanca,DELF SJ,B2,2023,44,42,34.0,MAR
Maroc,Casablanca,Casablanca,DELF Prim,A2,2023,118,114,111.0,MAR
Maroc,Casablanca,Casablanca,DELF SJ,B2,2023,114,112,98.0,MAR
Maroc,Casablanca,Casablanca,DELF-DALF TP,A2,2023,2,2,1.0,MAR
Maroc,Casablanca,Casablanca,DELF-DALF TP,B1,2023,16,15,14.0,MAR
Maroc,El Jadida,El Jadida,DELF SJ,B2,2023,70,69,59.0,MAR
Maroc,El Jadida,El Jadida,DELF Prim,A1,2023,6,6,6.0,MAR
Kenya,Mombasa,Mombasa,DELF-DALF TP,C1,2023,1,1,1.0,KEN
Maroc,Essaouira,Essaouira,DELF SJ,B2,2023,62,62,44.0,MAR
Maroc,Essaouira,Essaouira,DELF-DALF TP,B1,2023,4,3,3.0,MAR
Maroc,Essaouira,Essaouira,DELF-DALF TP,C1,2023,7,7,7.0,MAR
Kirghizistan,Bichkek,Bichkek,DELF SJ,A1,2023,1,1,1.0,KGZ
Maroc,Fes,Fès,DELF-DALF TP,A2,2023,3,3,3.0,MAR
Maroc,Kenitra,Kénitra,DELF SJ,A2,2023,6,6,6.0,MAR
Maroc,Kenitra,Kénitra,DELF-DALF TP,C1,2023,36,36,32.0,MAR
Maroc,Marrakech,Marrakech,DELF SJ,A1,2023,15,15,14.0,MAR
Maroc,Marrakech,Marrakech,DELF SJ,B2,2023,8,8,4.0,MAR
Maroc,Marrakech,Marrakech,DELF-DALF TP,A1,2023,3,3,3.0,MAR
Maroc,Marrakech,Marrakech,DELF-DALF TP,A2,2023,52,52,52.0,MAR
Maroc,Meknes,Meknès,DELF Prim,A2,2023,27,26,26.0,MAR
Maroc,Oujda,Oujda,DELF SJ,A1,2023,13,13,13.0,MAR
Maroc,Oujda,Oujda,DELF SJ,B1,2023,26,26,24.0,MAR
Maroc,Oujda,Oujda,DELF SJ,B2,2023,69,68,59.0,MAR
Maroc,Rabat,Rabat,DELF Prim,A1,2023,35,35,35.0,MAR
